"id","rightsHolder","datasetName","basisOfRecord","year","month","latitude","longitude","coordinatePrecision","coordinateUncertaintyInMeters","type","taxon_id","taxonRank","taxaSubGroup","kingdom","phylum","class","order","family","genus","scientificName","is_terrestrial","is_freshwater","is_brackish","is_marine","simple_scientificName"
"647f0d416baa2e003f87ceba","臺灣生物多樣性資訊機構 TaiBIF","2021-2022_臺灣東部海岸公民科學_石梯坪_成功_富岡之生態監測","HumanObservation","2019","12",23.483595,121.512553,,100,"land","t0067588","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Liolophura","Liolophura japonica",,,,"true","Liolophura japonica"
"655f6d15ffe55200171f0a21","GBIF","Natural History Museum Rotterdam - Specimens","PreservedSpecimen","1982","01",23.58,119.56,0.01,1113,"sea","t0061320","species","Other molluscs","Animalia","Mollusca","Scaphopoda","Dentalioida","Dentaliidae","Dentalium","Dentalium aprinum",,,,"true","Dentalium aprinum"
"65be5ec8cf4897005f7dca4d","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2011","11",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec6cf4897005f7dc64a","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2011","08",23.554752,120.161862,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec5cf4897005f7dc4f8","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2010","07",23.554752,120.161862,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec7cf4897005f7dca14","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2009","11",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec7cf4897005f7dca1c","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2011","09",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"655f3912ffe552001712faf8","GBIF","iNaturalist Research-grade Observations","HumanObservation","2015","10",22.72194,120.253743,,15,"sea","t0067588","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Liolophura","Liolophura japonica",,,,"true","Liolophura japonica"
"65be5ec6cf4897005f7dc741","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2011","02",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec7cf4897005f7dca01","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2011","09",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"647f0d416baa2e003f87ceba","臺灣生物多樣性資訊機構 TaiBIF","2021-2022_臺灣東部海岸公民科學_石梯坪_成功_富岡之生態監測","HumanObservation","2019","12",23.483595,121.512553,,100,"land","t0067588","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Liolophura","Liolophura japonica",,,,"true","Liolophura japonica"
"65be5ec6cf4897005f7dc749","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2010","12",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"6459546ca0a307002cfd1f1a","臺灣國家公園生物多樣性資料庫","澎湖南方四島螺貝類資源調查","Occurrence","2022","08",23.251806,119.673194,,,"sea","t0066344","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae","Ischnochiton","Ischnochiton comptus",,,,"true","Ischnochiton comptus"
"65be5ec5cf4897005f7dc47a","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2010","05",23.554752,120.161862,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"647f0d416baa2e003f87d0f5","臺灣生物多樣性資訊機構 TaiBIF","2021-2022_臺灣東部海岸公民科學_石梯坪_成功_富岡之生態監測","HumanObservation","2022","06",23.483595,121.512553,,100,"land","t0067588","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Liolophura","Liolophura japonica",,,,"true","Liolophura japonica"
"65be5ec7cf4897005f7dca32","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2009","12",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"647f0d416baa2e003f87d054","臺灣生物多樣性資訊機構 TaiBIF","2021-2022_臺灣東部海岸公民科學_石梯坪_成功_富岡之生態監測","HumanObservation","2021","08",23.483595,121.512553,,100,"land","t0067588","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Liolophura","Liolophura japonica",,,,"true","Liolophura japonica"
"655f6d15ffe55200171f0978","GBIF","Natural History Museum Rotterdam - Specimens","PreservedSpecimen","1974","01",22.67,120.26,0.01,1113,"land","t0061320","species","Other molluscs","Animalia","Mollusca","Scaphopoda","Dentalioida","Dentaliidae","Dentalium","Dentalium aprinum",,,,"true","Dentalium aprinum"
"64591830a0a307002cfc2356","臺灣國家公園生物多樣性資料庫","澎湖南方四島螺貝類資源調查","Occurrence","2022","08",23.255917,119.514111,,,"land","t0066344","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae","Ischnochiton","Ischnochiton comptus",,,,"true","Ischnochiton comptus"
"647f0d416baa2e003f87ce99","臺灣生物多樣性資訊機構 TaiBIF","2021-2022_臺灣東部海岸公民科學_石梯坪_成功_富岡之生態監測","HumanObservation","2019","11",23.483595,121.512553,,100,"land","t0067588","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Liolophura","Liolophura japonica",,,,"true","Liolophura japonica"
"647f0d426baa2e003f87d133","臺灣生物多樣性資訊機構 TaiBIF","2021-2022_臺灣東部海岸公民科學_石梯坪_成功_富岡之生態監測","HumanObservation","2022","08",23.483595,121.512553,,100,"land","t0067588","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Liolophura","Liolophura japonica",,,,"true","Liolophura japonica"
"65be5ec8cf4897005f7dcabe","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2013","05",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec6cf4897005f7dc75d","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2010","12",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec7cf4897005f7dca2f","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2009","12",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec5cf4897005f7dc52b","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2009","09",23.554752,120.161862,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
